Date,.TOPX,.IAIRL.T,.IBNKS.T,.ICHEM.T,.ICNST.T,.ICOMS.T,.IELEC.T,.IEPNG.T,.IFINS.T,.IFISH.T,.IFOOD.T,.IGLSS.T,.IINSU.T,.IMCHN.T,.IMETL.T,.IMING.T,.IMISC.T,.INFRO.T,.IPAPR.T,.IPETE.T,.IPHAM.T,.IPRCS.T,.IRAIL.T,.IRETL.T,.IRLTY.T,.IRUBR.T,.ISECU.T,.ISHIP.T,.ISTEL.T,.ISVCS.T,.ITEQP.T,.ITXTL.T,.IWHOL.T,.IWHSE.T
2001-04-02,1268.38,798.63,329.66,872.25,574.96,2896.28,2275.24,614.29,934.87,332.09,757.44,895.11,651.28,708.49,707.62,411.12,1688.58,1031.81,629.16,928.71,1694.49,2349.39,1245.13,758.91,693.64,985.62,857.24,371.74,340.37,1527.73,1676.11,466.13,617.22,883.5
2001-04-03,1293.96,811.04,341.41,901.07,594.99,2908.42,2261.79,625.64,952.89,345.12,775.98,920.94,664.12,727.55,738.43,416.54,1745.33,1040.36,627.06,956.73,1753.05,2370.18,1298.74,788.02,718.21,1005.71,898.78,379.37,347.08,1552.45,1710.72,484.26,632.7,902.29
2001-04-04,1304.37,793.78,350.05,911.5,601.96,2962.23,2239.54,630.08,945.55,345.3,776.84,935.65,683.22,734.77,770.28,429.08,1742.73,1044.28,625.32,990.55,1762.35,2364.27,1300.91,816.81,751.15,1020.43,927.76,387.34,356.56,1543.31,1704.52,493.24,636.41,933.77
2001-04-05,1317.83,825.22,350.61,918.15,612.28,2979.91,2282.03,635.34,948.1,350.08,776.3,943.03,680.79,745.22,783.75,424.45,1752.61,1055.52,626.45,991.05,1791.3,2410.83,1298.67,826.46,760.52,1055.43,949.71,394.04,363.61,1592.61,1698.84,500.77,644.06,983.86
2001-04-06,1313.76,850.21,337.29,920.98,608.07,3000.46,2302.14,631.6,957.43,347.61,772.38,948.06,672.29,737.14,787.54,423.6,1736.36,1053.42,632.08,975.47,1780.52,2432.84,1300.58,827.76,749.46,1047.96,956.39,413.25,361.14,1590.57,1683.63,496.09,652.81,987.32
2001-04-09,1282.43,844.03,322.96,899.76,601.87,2987.84,2221.05,629.37,954.16,341.98,762.14,931.03,662.26,727.25,764.68,426.73,1701.59,1027.31,628.36,986.13,1754.55,2375.42,1287.82,801.62,721.04,1005.18,914.27,408.06,355.65,1545.64,1631.76,495.12,640.18,971.54
2001-04-10,1263.65,826.65,315.29,892.97,603.55,2957.97,2167.02,635.0,949.85,341.43,756.96,904.89,659.73,716.75,761.76,431.9,1661.98,1008.63,633.22,1047.88,1726.21,2317.05,1275.73,791.4,726.4,996.35,857.8,401.61,354.56,1520.35,1618.85,495.92,626.5,973.97
2001-04-11,1290.73,841.62,317.09,906.79,612.53,3075.31,2237.94,638.69,960.22,344.55,762.85,923.24,658.5,730.12,767.27,437.81,1671.65,1044.28,637.11,1074.56,1739.27,2375.19,1293.51,819.88,743.72,1009.67,904.93,410.12,359.53,1552.45,1654.96,506.98,631.89,988.4
2001-04-12,1301.33,842.11,322.45,914.08,613.42,3095.5,2293.87,637.26,954.84,342.65,764.3,957.67,651.69,735.88,787.36,431.55,1671.3,1063.27,642.53,1039.79,1728.49,2398.39,1293.46,819.68,738.31,1017.34,909.93,418.06,367.36,1569.6,1646.27,510.93,641.0,996.39
2001-04-13,1299.2,841.49,322.06,914.53,617.06,3113.02,2289.79,626.43,946.3,345.28,765.64,953.47,654.45,732.25,791.19,436.98,1648.11,1083.73,647.5,1067.36,1726.27,2383.78,1285.05,815.26,737.83,1021.06,897.62,414.76,377.87,1578.18,1631.44,516.64,638.8,992.43
2001-04-16,1294.13,829.03,321.93,910.64,618.97,3051.53,2267.03,629.05,945.81,352.7,768.23,952.17,652.08,732.29,787.6,433.89,1653.75,1084.32,651.06,1037.21,1721.67,2359.75,1294.37,816.02,743.9,1038.56,899.83,411.99,388.41,1566.13,1626.06,517.03,638.71,997.42
2001-04-17,1285.53,829.81,319.99,912.56,623.61,2972.69,2240.37,635.04,944.67,352.54,766.92,952.97,657.03,727.5,783.32,426.6,1674.53,1053.17,662.37,1037.63,1711.58,2322.54,1303.47,814.11,742.77,1053.42,878.47,407.51,381.89,1548.07,1622.05,513.64,638.88,987.46
2001-04-18,1320.41,857.71,326.71,925.92,628.0,3132.95,2333.02,637.47,963.88,356.05,775.48,977.86,670.2,741.45,800.69,434.22,1759.59,1081.84,669.78,1039.77,1732.23,2395.3,1316.56,840.26,744.26,1069.96,919.85,406.76,385.65,1603.06,1649.49,522.61,655.39,1007.18
2001-04-19,1337.92,836.42,328.89,928.85,626.09,3269.22,2414.79,628.69,964.18,357.96,770.41,991.41,668.89,750.52,826.86,444.27,1744.69,1105.77,669.52,1021.31,1709.79,2451.02,1325.78,852.71,745.74,1041.74,950.44,406.17,379.41,1645.33,1647.63,520.73,656.52,1016.97
2001-04-20,1330.06,860.73,326.69,930.43,629.76,3164.61,2382.24,635.82,964.98,357.52,771.57,982.71,669.22,755.23,823.66,439.81,1712.98,1099.38,671.38,1029.09,1700.05,2446.26,1319.25,849.44,726.96,1040.7,945.32,408.94,390.33,1652.05,1651.64,521.72,659.27,1019.11
2001-04-23,1331.31,884.49,323.36,929.47,629.74,3232.9,2359.64,646.23,961.27,357.2,774.87,980.44,670.73,753.43,828.25,435.07,1721.1,1127.2,675.34,1040.54,1709.52,2429.4,1346.38,850.55,721.54,1053.02,950.28,415.53,401.54,1667.56,1629.24,527.31,652.36,1008.41
2001-04-24,1328.0,878.7,323.33,935.7,633.07,3107.35,2347.43,651.3,969.71,361.63,780.8,985.17,668.84,756.93,837.77,440.06,1731.56,1132.42,686.44,1052.73,1716.01,2410.14,1356.17,855.08,731.91,1054.91,938.83,427.27,400.16,1657.74,1635.34,534.47,649.91,1008.07
2001-04-25,1341.4,895.47,329.84,944.21,645.85,3179.43,2357.77,652.66,985.82,366.32,784.59,992.18,678.86,769.07,843.81,435.44,1740.73,1140.36,700.04,1039.08,1722.14,2441.08,1353.88,860.72,724.83,1064.35,974.38,443.69,408.4,1663.18,1637.49,536.09,661.6,1031.76
2001-04-26,1359.29,924.7,339.2,954.73,662.79,3203.12,2390.7,666.22,1002.87,368.14,790.87,998.45,696.86,781.01,855.11,440.76,1739.43,1140.48,721.17,1035.02,1696.0,2484.69,1362.02,871.73,725.62,1065.01,1008.42,451.58,406.19,1683.01,1665.52,534.35,672.22,1065.76
2001-04-27,1366.46,901.89,346.57,961.78,674.26,3235.7,2371.25,672.65,1009.71,363.66,792.1,1011.33,698.64,780.23,851.57,442.81,1771.34,1127.16,727.69,1062.24,1683.06,2505.59,1363.86,890.0,732.85,1087.43,1005.08,447.83,408.34,1701.13,1668.94,534.08,678.49,1077.44
2001-05-01,1411.69,910.59,362.38,985.73,692.45,3373.0,2470.46,676.87,1051.04,368.6,804.33,1037.43,711.11,799.25,880.04,456.99,1819.78,1157.19,758.56,1078.84,1714.7,2586.81,1386.56,926.33,742.72,1131.14,1062.91,448.42,410.66,1772.96,1716.27,546.88,696.41,1092.0
2001-05-02,1424.24,907.99,362.97,979.91,686.19,3497.61,2505.82,678.0,1076.61,369.04,802.58,1043.65,704.34,807.31,874.37,450.57,1842.51,1157.98,784.12,1082.78,1685.03,2567.27,1385.49,927.88,741.63,1137.95,1065.75,433.17,401.37,1812.35,1744.08,547.32,708.27,1059.45
2001-05-07,1440.97,896.49,362.51,976.96,670.44,3688.84,2547.28,686.3,1083.72,365.09,799.05,1043.06,716.85,810.58,879.84,441.46,1866.98,1179.7,787.78,1058.16,1692.67,2613.82,1391.94,935.51,745.49,1197.79,1089.41,430.18,396.31,1861.57,1735.07,545.34,720.29,1057.58
2001-05-08,1410.76,874.46,345.95,960.96,654.16,3514.91,2517.82,685.91,1072.37,360.73,795.06,1037.72,718.0,795.51,866.14,428.44,1839.88,1157.42,758.52,1046.84,1678.29,2595.63,1369.8,916.37,736.04,1206.62,1052.77,420.85,386.97,1845.4,1698.23,537.47,703.71,1042.86
2001-05-09,1392.33,852.87,345.41,951.04,648.11,3415.26,2478.3,685.8,1047.22,356.29,791.88,1011.69,718.61,784.74,830.87,424.08,1790.58,1144.71,745.19,1025.11,1703.67,2578.6,1351.76,890.59,739.78,1163.59,1010.91,420.57,382.92,1798.9,1704.02,524.72,698.99,1009.14
2001-05-10,1381.25,867.58,339.6,953.2,644.53,3339.91,2453.61,683.41,1058.02,365.46,789.41,1010.73,697.41,774.06,841.63,434.49,1787.72,1145.35,755.13,1046.66,1719.85,2582.83,1349.53,891.18,712.36,1147.85,993.16,414.48,390.55,1769.69,1689.69,530.1,694.32,1020.23
2001-05-11,1376.76,872.53,337.05,950.39,645.26,3276.94,2457.47,675.81,1051.78,367.6,784.12,1014.89,703.53,778.14,846.21,430.19,1803.97,1139.47,747.06,1068.41,1712.5,2591.09,1336.43,879.91,709.9,1135.06,1025.5,426.14,393.63,1761.55,1680.64,530.84,697.02,1008.74
2001-05-14,1364.25,854.06,335.65,942.35,636.58,3252.29,2427.77,676.93,1053.53,363.3,781.02,997.03,680.6,771.2,827.91,432.95,1803.66,1115.56,754.34,1100.66,1712.86,2561.91,1331.54,872.84,705.84,1109.67,989.77,421.31,386.64,1749.11,1659.45,521.07,687.02,996.48
2001-05-15,1378.84,855.82,334.74,948.04,635.74,3391.29,2452.15,677.36,1040.69,357.82,783.53,1006.66,685.33,773.77,832.61,437.69,1814.68,1111.57,758.37,1104.06,1724.57,2559.65,1334.29,893.68,714.34,1109.49,1018.41,422.13,386.1,1785.37,1668.4,530.23,699.08,998.53
2001-05-16,1357.03,845.87,332.66,937.26,632.12,3296.66,2394.16,673.83,1020.09,358.07,771.36,994.5,669.54,767.86,819.17,440.83,1787.87,1097.63,746.38,1104.52,1702.0,2517.44,1318.48,872.46,696.12,1113.93,985.29,417.76,378.26,1747.51,1665.27,525.13,692.58,994.7
2001-05-17,1376.94,833.59,334.76,940.84,636.12,3351.67,2451.5,681.8,1031.6,363.96,775.42,1000.29,680.46,771.37,817.94,447.94,1808.61,1108.19,753.75,1120.19,1716.45,2541.17,1353.64,885.08,694.77,1102.34,1003.14,423.61,379.8,1785.49,1707.49,530.69,697.86,1001.38
2001-05-18,1371.57,820.35,335.94,937.59,636.06,3237.51,2466.49,680.04,1038.26,363.15,768.28,990.7,676.83,776.81,811.61,445.66,1823.13,1114.45,740.83,1151.53,1697.05,2567.53,1334.26,872.85,695.38,1088.83,1013.74,425.22,379.29,1780.67,1696.5,534.18,698.03,989.12
2001-05-21,1383.39,818.89,335.12,954.22,637.48,3268.4,2508.86,686.22,1050.34,360.94,776.53,995.71,684.13,783.58,826.24,471.92,1841.12,1137.1,753.77,1176.33,1702.09,2575.15,1338.78,881.83,707.47,1064.34,1003.08,421.79,378.54,1789.63,1708.96,539.6,706.16,997.17
2001-05-22,1379.76,803.4,331.7,949.04,630.57,3272.32,2525.1,676.38,1047.01,362.35,775.39,983.29,679.66,778.34,821.99,468.89,1869.68,1135.3,742.94,1171.19,1693.82,2579.33,1343.53,872.43,701.21,994.39,1009.0,423.09,374.34,1794.47,1685.23,544.51,715.57,997.45
2001-05-23,1375.23,788.59,323.91,957.91,632.51,3217.75,2523.89,678.44,1041.85,368.09,774.8,971.45,670.24,781.5,831.34,495.52,1863.57,1132.66,764.19,1192.17,1685.23,2574.26,1349.4,869.37,694.8,999.31,985.63,423.37,373.18,1782.26,1711.18,546.46,716.56,1007.6
2001-05-24,1365.88,793.57,329.66,953.13,627.34,3195.79,2483.52,681.17,1020.66,370.46,771.29,957.21,669.31,775.04,825.66,483.07,1851.12,1129.47,778.12,1180.48,1669.36,2519.39,1334.45,872.28,684.94,984.78,962.05,426.34,376.6,1765.35,1687.6,544.84,714.12,993.9
2001-05-25,1359.98,805.51,321.4,945.84,629.89,3171.01,2467.52,680.76,1039.46,371.71,768.73,953.61,664.96,777.33,824.48,481.14,1877.11,1113.46,770.41,1158.59,1661.09,2519.35,1329.64,863.62,693.08,1037.92,966.62,426.17,365.52,1761.48,1703.96,542.73,712.0,996.68
2001-05-28,1349.77,775.16,311.11,945.24,623.55,3143.94,2444.4,684.02,1049.76,365.33,768.89,943.43,666.12,778.41,824.67,475.63,1891.16,1120.36,769.71,1132.64,1642.2,2527.33,1336.62,858.81,676.67,1011.3,956.49,416.42,357.78,1747.23,1707.72,534.32,706.26,989.58
2001-05-29,1355.63,778.5,314.5,946.35,627.16,3160.92,2453.17,684.38,1053.2,363.18,771.86,935.62,674.99,784.27,826.46,477.61,1904.04,1122.61,765.41,1158.01,1676.84,2531.96,1344.0,860.95,678.48,1018.94,979.77,418.69,356.62,1739.81,1698.63,537.14,705.45,983.52
2001-05-30,1329.73,775.99,304.27,937.26,624.04,3081.33,2358.56,682.99,1035.11,362.2,770.14,916.1,674.55,773.45,814.55,480.11,1884.83,1112.92,749.59,1169.59,1699.07,2449.71,1332.82,847.14,683.38,996.61,941.69,414.26,355.11,1703.86,1675.03,541.29,694.92,988.32
2001-05-31,1310.81,772.18,305.05,922.26,620.67,3011.52,2286.58,694.8,1011.93,362.01,768.4,902.19,669.89,762.1,811.27,476.55,1857.6,1072.67,747.65,1159.0,1715.92,2392.86,1338.07,832.23,678.36,987.78,918.54,410.48,350.12,1640.75,1665.73,535.48,683.4,974.84
2001-06-01,1310.09,752.42,302.33,920.72,617.23,3010.36,2305.09,692.82,1032.1,368.51,767.77,903.96,662.3,768.25,815.83,477.35,1843.85,1061.3,750.64,1144.58,1714.64,2378.99,1332.28,828.44,682.93,1006.74,931.13,413.44,347.27,1650.6,1643.4,537.48,680.92,969.73
2001-06-04,1314.17,759.02,299.31,925.65,616.13,3007.3,2310.33,697.7,1034.76,371.65,779.31,903.2,660.59,769.83,814.46,477.27,1871.78,1062.67,763.23,1179.84,1730.07,2365.1,1343.1,830.39,704.48,1017.12,941.09,416.39,347.05,1647.54,1648.81,544.73,688.17,979.58
2001-06-05,1307.55,789.54,303.39,911.66,614.69,3002.94,2278.24,703.15,1032.46,370.8,778.24,898.08,658.78,765.43,811.05,469.92,1830.24,1046.28,773.49,1174.1,1710.54,2338.26,1332.14,821.81,713.14,1026.71,914.6,410.1,348.86,1637.08,1651.64,543.58,685.21,979.88
2001-06-06,1307.52,784.39,304.45,912.96,614.93,2995.01,2280.34,702.76,1022.11,365.53,771.21,894.58,653.57,767.24,810.62,461.12,1848.61,1045.23,769.4,1175.56,1706.29,2347.83,1324.72,821.01,711.64,1026.66,917.73,413.99,349.09,1641.09,1651.25,548.62,687.68,990.21
2001-06-07,1311.63,803.8,298.91,922.82,618.09,2998.6,2290.18,708.79,1038.14,365.22,774.61,894.48,659.02,772.05,814.63,465.74,1850.47,1067.46,774.74,1179.74,1727.55,2358.3,1318.84,821.04,711.52,1017.3,943.3,422.37,354.11,1657.64,1646.84,547.52,690.04,981.04
2001-06-08,1318.09,804.42,299.09,926.5,625.63,3008.99,2324.57,704.67,1030.37,365.61,775.35,913.4,657.59,783.35,822.2,465.99,1846.15,1072.29,769.01,1205.7,1715.44,2383.82,1317.84,816.78,715.11,1016.53,948.23,420.1,358.36,1679.85,1653.1,547.27,694.8,1023.16
2001-06-11,1309.75,793.52,299.85,924.68,626.98,2938.31,2282.0,706.65,1025.16,370.76,777.54,900.16,658.24,776.14,821.39,463.9,1844.56,1062.83,759.04,1218.47,1693.98,2339.9,1310.74,818.94,710.14,1011.81,936.9,409.9,359.05,1670.7,1663.25,552.44,702.09,1034.2
2001-06-12,1273.21,771.26,285.9,899.74,611.12,2801.31,2217.86,707.87,999.94,365.8,767.73,875.07,644.3,759.68,807.02,456.66,1789.68,1023.82,752.88,1156.57,1654.0,2279.52,1308.63,796.96,687.3,991.59,890.18,404.92,350.44,1603.34,1641.36,536.7,686.86,1014.86
2001-06-13,1272.73,770.52,287.13,900.67,611.02,2773.48,2208.86,707.44,1009.64,366.69,772.07,879.37,651.35,757.66,807.21,458.31,1819.91,1021.55,750.65,1154.85,1637.5,2239.25,1318.25,794.55,694.75,987.68,882.02,410.9,352.72,1608.63,1645.88,540.41,686.18,1029.01
2001-06-14,1271.83,749.32,281.64,906.22,607.49,2804.69,2194.95,715.11,1009.03,370.61,768.92,872.39,635.92,758.23,802.69,438.1,1830.67,1005.64,744.24,1093.78,1669.99,2220.95,1328.98,791.91,697.87,998.79,880.46,410.0,358.05,1590.87,1667.06,540.31,683.24,1028.48
2001-06-15,1265.32,746.4,278.98,901.53,606.0,2770.98,2153.22,728.89,1014.51,373.03,770.52,862.83,638.76,757.24,796.97,436.11,1816.91,970.9,742.53,1100.29,1680.01,2185.71,1339.72,794.24,701.89,998.95,907.74,406.38,355.22,1571.26,1665.83,542.99,670.46,1018.41
2001-06-18,1259.65,741.44,285.23,898.23,605.61,2706.54,2136.59,734.1,1015.35,368.41,770.0,846.44,632.61,755.87,799.0,437.95,1819.17,947.41,744.24,1130.22,1657.06,2212.22,1365.21,787.14,700.3,986.72,869.12,406.44,351.75,1544.99,1663.7,541.54,665.73,1045.45
2001-06-19,1254.19,731.94,280.71,894.67,597.32,2704.4,2143.18,739.1,1007.54,368.41,766.22,832.78,628.61,752.43,797.93,436.72,1794.83,939.26,744.9,1137.39,1645.47,2200.33,1349.41,772.76,686.19,992.15,859.08,399.2,347.69,1538.75,1675.99,540.98,661.02,1023.56
2001-06-20,1257.13,733.59,278.26,899.49,593.81,2703.96,2147.49,729.31,1016.51,360.63,766.3,841.24,634.22,754.75,793.63,431.62,1807.76,942.52,741.29,1128.45,1660.46,2223.54,1358.47,776.01,681.38,988.54,863.13,410.66,345.82,1551.07,1693.44,536.26,666.16,1019.92
2001-06-21,1288.49,734.49,301.08,909.24,600.99,2780.57,2181.96,737.13,1034.14,359.06,777.99,857.46,652.04,764.67,798.6,445.15,1831.74,957.83,724.02,1154.77,1683.34,2246.64,1369.42,801.52,693.46,1022.14,926.15,413.77,351.46,1592.28,1724.71,541.9,683.52,1059.57
2001-06-22,1305.06,749.03,299.49,926.05,611.53,2882.25,2211.57,745.06,1055.11,366.82,783.72,858.92,668.47,776.2,807.15,441.36,1900.46,971.94,711.71,1121.2,1675.67,2284.07,1384.99,806.73,716.58,1027.6,936.99,424.18,357.5,1625.69,1733.16,547.3,697.26,1062.63
2001-06-25,1291.38,734.59,296.52,918.11,613.05,2791.47,2177.11,750.35,1049.78,366.78,778.62,862.69,660.86,767.78,809.19,445.65,1870.93,969.8,719.49,1109.81,1658.44,2285.73,1370.48,796.94,709.57,1039.32,923.43,426.86,355.37,1590.53,1734.85,547.09,696.84,1062.57
2001-06-26,1295.93,733.87,294.49,926.97,616.34,2809.83,2169.45,756.56,1067.08,374.5,782.25,864.69,667.01,770.17,820.11,447.89,1871.97,973.87,740.82,1125.67,1686.78,2309.9,1389.99,786.41,721.99,1041.08,930.31,434.73,358.86,1594.96,1740.0,549.91,700.24,1080.57
2001-06-27,1288.37,737.26,299.79,922.22,617.41,2784.13,2142.96,749.09,1058.06,372.24,778.33,850.85,652.82,764.49,817.38,438.21,1870.47,965.06,736.37,1108.47,1672.64,2273.82,1380.92,788.92,721.12,1016.7,907.72,430.22,356.57,1576.3,1734.21,547.44,696.18,1077.07
2001-06-28,1278.75,726.46,302.33,917.4,619.16,2730.33,2114.43,744.05,1043.94,368.37,776.13,850.35,646.06,762.31,814.6,433.95,1836.15,944.73,717.71,1055.18,1670.65,2274.5,1380.11,774.01,712.12,1020.37,907.11,431.66,355.13,1560.02,1732.91,543.12,691.34,1065.77
2001-06-29,1300.98,737.23,303.65,918.31,628.85,2855.66,2165.76,747.54,1061.28,359.47,785.43,866.57,654.97,772.94,823.43,437.87,1863.92,962.14,714.33,1065.89,1677.4,2297.76,1399.08,797.2,732.7,1019.48,928.2,438.28,356.69,1601.84,1759.65,548.57,696.75,1074.38
2001-07-02,1286.92,730.21,298.99,913.12,625.98,2795.15,2125.31,745.28,1057.93,352.11,780.25,857.31,642.38,765.59,821.67,432.87,1874.84,942.69,711.23,1060.01,1679.35,2261.49,1386.27,785.41,719.41,1023.02,918.45,425.81,357.29,1571.8,1763.64,543.33,688.8,1071.58
2001-07-03,1293.42,731.9,299.84,917.05,621.92,2849.49,2119.06,749.43,1070.35,355.56,785.77,854.1,649.09,767.15,825.29,435.67,1889.46,935.25,717.06,1062.71,1690.3,2265.24,1395.25,786.8,735.0,1027.71,933.28,426.31,356.88,1589.7,1765.85,552.23,693.68,1082.21
2001-07-04,1278.0,733.98,296.27,900.46,615.36,2794.63,2086.08,752.19,1048.24,349.3,772.63,840.69,642.55,755.92,809.58,429.58,1879.54,919.1,696.62,1066.34,1676.96,2217.81,1389.8,781.64,748.15,1028.5,914.66,424.62,352.94,1551.64,1764.9,546.1,682.75,1070.76
2001-07-05,1274.69,736.75,294.52,897.26,615.63,2775.63,2061.85,767.06,1032.72,354.46,780.58,835.98,641.36,756.57,813.86,446.24,1879.21,894.65,696.34,1085.21,1684.55,2209.75,1395.47,780.88,753.62,1048.29,895.84,433.57,349.29,1542.44,1773.06,546.84,682.56,1088.39
2001-07-06,1253.56,721.31,288.04,884.72,607.92,2763.5,1993.66,769.86,1020.72,347.47,770.33,825.6,641.64,743.11,809.34,436.77,1876.22,877.79,695.66,1081.32,1672.62,2159.91,1388.17,771.08,738.27,1067.86,859.05,431.3,344.4,1507.45,1748.59,534.32,661.23,1089.56
2001-07-09,1237.9,725.6,283.32,881.95,602.59,2707.56,1948.36,758.37,999.36,345.28,768.29,820.44,643.2,737.17,804.15,441.0,1853.57,857.93,692.94,1073.65,1658.36,2138.34,1383.93,773.3,731.74,1059.82,830.69,427.42,336.86,1467.25,1752.94,528.19,655.93,1086.14
2001-07-10,1249.34,738.2,290.55,885.84,604.33,2769.79,1986.66,751.67,1001.28,353.98,769.77,816.91,651.02,740.55,806.65,432.43,1862.66,867.02,696.16,1057.7,1664.27,2168.54,1376.03,778.26,732.17,1059.01,851.2,427.63,340.88,1480.49,1740.83,531.38,664.8,1093.59
2001-07-11,1227.57,717.53,284.77,865.84,600.51,2730.16,1931.98,740.96,983.57,353.04,762.28,811.67,645.31,729.01,805.45,421.58,1843.21,843.01,681.84,1025.57,1640.82,2121.1,1361.7,768.87,709.82,1042.18,832.48,429.1,334.28,1450.03,1719.71,525.65,655.79,1083.87
2001-07-12,1248.63,729.99,290.6,875.08,609.98,2785.34,2021.04,744.69,987.52,349.63,769.5,819.57,652.32,736.91,825.33,423.21,1843.64,866.66,699.56,1036.18,1635.61,2205.39,1382.09,784.23,714.15,1047.99,876.63,430.63,336.59,1489.07,1697.13,530.71,661.57,1105.68
2001-07-13,1244.02,724.42,286.73,878.94,613.21,2763.39,2012.84,734.89,977.98,349.57,767.26,833.37,650.35,736.56,832.12,422.94,1826.76,869.19,695.54,1048.5,1623.49,2167.95,1373.84,786.39,711.49,1049.56,853.1,425.11,337.47,1489.43,1707.25,527.13,667.66,1116.87
2001-07-16,1242.21,724.62,288.13,882.37,614.57,2728.92,2004.32,731.79,967.55,343.51,775.64,832.96,656.94,741.48,831.47,417.42,1830.88,856.88,694.14,1041.37,1630.55,2186.95,1370.27,784.78,716.54,1062.98,853.39,422.21,335.42,1473.19,1717.1,528.9,655.08,1130.88
2001-07-17,1223.91,712.84,282.08,870.52,609.55,2680.79,1961.97,726.74,956.52,338.35,772.41,820.3,657.06,728.22,829.7,413.74,1837.98,836.87,688.87,1002.75,1625.99,2177.45,1355.51,769.47,705.13,1050.39,819.3,408.58,333.13,1441.52,1707.22,524.08,644.83,1128.83
2001-07-18,1199.67,698.63,276.37,859.74,597.88,2557.53,1922.15,708.24,949.86,336.74,761.03,806.14,654.79,715.79,825.32,404.29,1816.38,820.84,672.55,986.75,1603.82,2146.29,1341.94,758.6,687.37,1034.76,796.25,394.26,326.18,1420.92,1677.01,512.34,633.16,1098.54
2001-07-19,1195.25,703.38,271.34,862.1,593.7,2520.49,1925.88,703.6,958.07,335.72,763.3,799.63,662.02,713.18,823.79,394.86,1824.09,823.81,669.19,956.13,1610.51,2131.63,1330.79,758.45,694.1,992.2,793.04,396.38,322.72,1420.13,1671.85,515.28,628.58,1086.94
2001-07-23,1163.76,702.74,258.74,835.54,591.42,2371.02,1886.71,697.64,929.24,329.22,751.19,780.24,651.67,703.02,805.08,384.02,1773.86,813.18,658.42,945.21,1580.39,2101.22,1314.59,748.16,678.06,876.36,765.58,388.4,316.65,1374.63,1644.99,496.92,607.79,1071.62
2001-07-24,1179.86,705.67,265.25,845.2,596.26,2434.0,1920.17,706.66,939.41,328.85,760.31,796.04,657.46,705.98,823.66,388.49,1775.61,830.77,665.82,965.07,1569.02,2142.19,1326.52,761.76,677.7,865.14,761.94,389.21,316.95,1410.73,1665.31,494.51,612.96,1083.23
2001-07-25,1189.11,696.15,269.66,843.16,599.71,2491.29,1936.41,703.11,949.58,331.4,756.78,797.5,659.55,712.29,832.12,397.2,1772.52,858.24,690.08,1013.8,1568.66,2147.58,1322.14,758.17,688.16,870.3,790.42,389.22,321.38,1435.36,1662.25,494.96,619.94,1074.25
2001-07-26,1192.25,692.52,274.82,834.65,602.67,2481.75,1921.87,699.98,952.93,333.04,764.34,788.26,658.81,711.29,842.22,402.8,1775.41,858.93,695.12,1048.96,1577.22,2151.27,1308.41,768.41,702.69,862.09,795.25,391.78,327.05,1463.28,1660.69,502.16,628.95,1085.85
2001-07-27,1184.23,689.33,271.93,832.0,606.98,2391.18,1849.48,713.49,953.29,337.31,768.22,795.73,662.64,711.46,847.62,401.24,1805.56,849.51,713.27,1029.39,1604.47,2137.68,1318.92,776.46,716.19,880.08,785.64,391.41,328.08,1450.78,1671.74,501.63,630.43,1088.58
2001-07-30,1168.51,677.89,268.2,828.34,601.95,2336.97,1790.13,723.38,951.89,335.09,763.64,778.37,659.89,695.91,841.14,387.98,1802.09,824.32,714.02,996.49,1617.78,2128.79,1332.81,774.59,715.05,855.66,764.56,386.07,318.15,1413.83,1661.71,494.4,610.84,1075.91
2001-07-31,1190.31,688.47,274.43,840.36,604.99,2404.26,1862.49,724.8,961.21,343.12,771.91,789.92,668.61,706.64,853.03,397.21,1790.69,848.19,722.87,1041.9,1628.84,2183.91,1333.68,785.24,707.46,873.08,779.98,395.21,326.51,1449.05,1677.09,499.5,624.39,1087.81
2001-08-01,1206.85,696.6,281.87,846.35,614.48,2521.24,1897.24,721.92,964.32,342.76,775.51,793.45,673.92,713.68,853.41,393.33,1786.85,859.81,735.04,1028.78,1646.47,2229.3,1333.01,794.23,717.29,866.41,809.63,397.21,330.18,1475.7,1672.88,500.54,627.38,1088.48
2001-08-02,1235.26,720.07,289.39,863.88,621.9,2578.21,1990.79,720.58,975.42,346.58,774.79,824.73,674.59,734.01,857.57,404.48,1821.55,903.95,749.24,1032.21,1660.82,2292.87,1337.33,812.48,735.39,878.46,870.21,409.88,338.18,1515.97,1684.51,508.2,640.69,1113.62
2001-08-03,1219.92,711.12,283.84,859.86,615.98,2527.93,1972.22,705.57,970.02,343.16,759.03,818.06,670.86,724.51,834.26,399.15,1796.82,908.24,740.28,1022.87,1645.01,2272.0,1336.74,802.76,735.47,870.39,843.24,398.02,339.33,1512.37,1649.27,502.73,639.11,1103.5
2001-08-06,1218.64,725.18,281.16,863.29,622.7,2507.13,1953.47,712.69,982.86,347.13,765.89,823.35,672.09,727.54,851.91,401.2,1792.53,899.75,740.54,1044.32,1650.51,2289.24,1352.16,804.26,746.27,857.7,840.42,402.6,342.32,1491.03,1651.71,509.01,633.17,1109.47
2001-08-07,1224.38,708.6,279.17,864.77,630.75,2488.83,1966.66,729.38,996.71,347.65,774.34,835.34,664.86,733.63,862.6,402.34,1793.56,902.0,743.79,1048.12,1660.29,2280.95,1357.21,807.29,755.3,864.48,843.3,400.5,339.84,1513.86,1658.28,509.65,647.86,1124.28
